,file_name,old_hypotheses,old_tok_len,hypotheses,tok_len,old_captions,captions
111,000000021993.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أحمر', 'و', '+', 'ال', '+', 'أسود', 'في', 'ال', '+', 'هواء']",15,رجل يجلس على مقعد,رجل يرتدي قميصا أحمر والأسود في الهواء
112,000000334607.jpg,"['اثنين', 'من', 'الكلاب', 'يلعبون', 'على', 'الشاطئ']",6,"['شخص', '+', 'ان', 'على', 'ال', '+', 'دراج', '+', 'ة', 'في', 'ال', '+', 'هواء']",13,اثنين من الكلاب يلعبون على الشاطئ,شخصان على الدراجة في الهواء
113,000000358396.jpg,"['شخص', 'يقفز', 'في', 'الهواء']",4,"['شخص', '+', 'ان', 'في', 'ال', '+', 'هواء']",7,شخص يقفز في الهواء,شخصان في الهواء
114,000000378312.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الشارع']",5,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس في الشارع,الناس في الشارع
115,000000570874.jpg,"['مجموعة', 'من', 'الناس']",3,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس,الناس في الشارع
116,000000020012.jpg,"['رجل', 'يرتدي', 'قميصا', 'أبيض', 'يقفز', 'في', 'الهواء']",7,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أحمر', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أحمر', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض']",24,رجل يرتدي قميصا أبيض يقفز في الهواء,رجل يرتدي قميصا أحمر واللون الأحمر والأبيض والأبيض
117,000000118405.jpg,"['رجل', 'يقف', 'أمام', 'مبنى']",4,"['ال', '+', 'ناس', 'في', 'ال', '+', 'هواء']",7,رجل يقف أمام مبنى,الناس في الهواء
118,000000305746.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الشارع']",5,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس في الشارع,الناس في الشارع
119,000000313118.jpg,"['مجموعة', 'من', 'الناس', 'يجلسون', 'على', 'الجليد']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'ثلج']",11,مجموعة من الناس يجلسون على الجليد,مجموعة من الناس في الثلج
120,000000321938.jpg,"['اثنين', 'من', 'الناس', 'في', 'مطعم']",5,"['ال', '+', 'ناس', 'في', 'ال', '+', 'ماء']",7,اثنين من الناس في مطعم,الناس في الماء
121,000000094619.jpg,"['صبي', 'صغير', 'يقفز', 'في', 'الهواء']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,صبي صغير يقفز في الهواء,فتاة صغيرة في الشارع
122,000000146646.jpg,"['مجموعة', 'من', 'الناس', 'يجلسون', 'على', 'الرصيف']",6,"['سيار', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس يجلسون على الرصيف,سيارة في الشارع
123,000000184820.jpg,"['مجموعة', 'من', 'الناس', 'يقفون', 'على', 'الجليد']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس يقفون على الجليد,مجموعة من الناس في الشارع
124,000000401092.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['ال', '+', 'كلب', 'ال', '+', 'أبيض', 'في', 'ال', '+', 'ماء']",10,رجل يجلس على مقعد,الكلب الأبيض في الماء
125,000000446557.jpg,"['فتاة', 'صغيرة', 'في', 'قميص', 'أبيض']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",16,فتاة صغيرة في قميص أبيض,فتاة صغيرة صغيرة صغيرة في الهواء
126,000000224388.jpg,"['رجل', 'يرتدي', 'قبعة', 'سوداء', '<unk>', '<unk>']",6,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'و', '+', 'امرأ', '+', 'ة']",11,رجل يرتدي قبعة سوداء <unk> <unk>,رجل وامرأة وامرأة
127,000000266275.jpg,"['رجل', 'يجلس', 'على', 'السرير']",4,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,رجل يجلس على السرير,فتاة صغيرة في الهواء
128,000000292236.jpg,"['مجموعة', 'من', 'الناس', 'يقفون', 'في', 'الشارع']",6,"['رجل', '+', 'ان', 'يقف', '+', 'ان', 'في', 'ال', '+', 'شارع']",10,مجموعة من الناس يقفون في الشارع,رجلان يقفان في الشارع
129,000000317460.jpg,"['مجموعة', 'من', 'الناس']",3,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس,الناس في الشارع
130,000000533860.jpg,"['كلب', 'بني', 'يركض', 'على', 'العشب']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,كلب بني يركض على العشب,فتاة صغيرة في الهواء
131,000000052996.jpg,"['اثنين', 'من', 'الناس', '<unk>', '<unk>']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,اثنين من الناس <unk> <unk>,امرأة صغيرة في الشارع
132,000000195685.jpg,"['رجل', 'يقف', 'في', 'سيارة', 'حمراء']",5,"['سيار', '+', 'ة', 'في', 'ال', '+', 'شارع']",7,رجل يقف في سيارة حمراء,سيارة في الشارع
133,000000450313.jpg,"['سيارة', '<unk>', '<unk>', '<unk>']",4,"['ال', '+', 'عديد', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,سيارة <unk> <unk> <unk>,العديد من الناس في الشارع
134,000000462792.jpg,"['الناس', 'على', 'الشاطئ']",3,"['ال', '+', 'عديد', 'من', 'ال', '+', 'ناس', 'على', 'ال', '+', 'شاطئ']",11,الناس على الشاطئ,العديد من الناس على الشاطئ
135,000000550056.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,رجل يجلس على مقعد,امرأة صغيرة في الهواء
136,000000148719.jpg,"['سيارة', 'سيارة', 'حمراء']",3,"['سيار', '+', 'ة', 'ال', '+', 'سيار', '+', 'ة', 'في', 'ال', '+', 'شارع']",12,سيارة سيارة حمراء,سيارة السيارة في الشارع
137,000000242618.jpg,"['لاعب', 'كرة', 'التنس']",3,"['لاعب', 'كر', '+', 'ة', 'كر', '+', 'ة', 'ال', '+', 'قدم']",10,لاعب كرة التنس,لاعب كرة كرة القدم
138,000000409841.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,رجل يجلس على مقعد,الناس في الشارع
139,000000521978.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,رجل يجلس على مقعد,امرأة صغيرة في الشارع
140,000000077889.jpg,"['اثنين', 'من', 'الكلاب', '<unk>', '<unk>']",5,"['ال', '+', 'ناس', 'في', 'ال', '+', 'ماء']",7,اثنين من الكلاب <unk> <unk>,الناس في الماء
141,000000212685.jpg,"['اثنين', 'من', 'الأطفال', 'يجلسون', 'على', 'الأرض']",6,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",16,اثنين من الأطفال يجلسون على الأرض,فتاة صغيرة صغيرة صغيرة في الشارع
142,000000310669.jpg,"['مجموعة', 'من', 'الناس', '<unk>', '<unk>']",5,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس <unk> <unk>,مجموعة من الناس في الشارع
143,000000417218.jpg,"['صبي', 'صغير', 'يقفز', 'في', 'الهواء']",5,"['شخص', '+', 'ان', 'في', 'ال', '+', 'شارع']",7,صبي صغير يقفز في الهواء,شخصان في الشارع
144,000000521943.jpg,"['صبي', 'صغير', 'يلعب', 'كرة', 'القدم']",5,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أبيض', 'و', '+', 'أسود', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض']",44,صبي صغير يلعب كرة القدم,رجل يرتدي قميصا أبيض وأسود والأبيض والأبيض والأبيض والأبيض والأبيض والأبيض والأبيض
145,000000025293.jpg,"['فتاة', 'في', 'ثوب', 'السباحة']",4,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'ماء']",10,فتاة في ثوب السباحة,فتاة صغيرة في الماء
146,000000214453.jpg,"['رجل', 'يجلس', 'على', 'طاولة', '<unk>']",5,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,رجل يجلس على طاولة <unk>,مجموعة من الناس في الشارع
147,000000434618.jpg,"['رجل', 'يرتدي', 'سترة', 'حمراء']",4,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,رجل يرتدي سترة حمراء,مجموعة من الناس في الشارع
148,000000454436.jpg,"['رجل', 'في', 'قميص', 'أبيض', 'يركض', 'في', 'الغابة']",7,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'يقف', '+', 'ان', 'في', 'ال', '+', 'شارع']",13,رجل في قميص أبيض يركض في الغابة,رجل وامرأة يقفان في الشارع
149,000000531441.jpg,"['طفل', 'صغير', 'يجلس', 'على', 'الكاميرا']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة']",12,طفل صغير يجلس على الكاميرا,فتاة صغيرة صغيرة صغيرة
150,000000136670.jpg,"['رجل', 'في', 'قميص', 'أزرق', 'يرتدي', 'سترة', 'حمراء']",7,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أزرق', 'و', '+', 'قبع', '+', 'ة', 'و', '+', 'قبع', '+', 'ة']",16,رجل في قميص أزرق يرتدي سترة حمراء,رجل يرتدي قميصا أزرق وقبعة وقبعة
151,000000152158.jpg,"['لاعب', 'كرة', 'القدم', 'في', 'حقل']",5,"['لاعب', 'كر', '+', 'ة', 'ال', '+', 'قدم', 'في', 'ال', '+', 'كر', '+', 'ة']",13,لاعب كرة القدم في حقل,لاعب كرة القدم في الكرة
152,000000472569.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الشارع']",5,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,مجموعة من الناس في الشارع,الناس في الشارع
153,000000488809.jpg,"['رجل', 'يرتدي', 'قبعة', 'حمراء']",4,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",13,رجل يرتدي قبعة حمراء,فتاة صغيرة صغيرة في الشارع
154,000000046537.jpg,"['رجل', 'يجلس', 'في', 'سيارة']",4,"['سيار', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,رجل يجلس في سيارة,سيارة من الناس في الشارع
155,000000121430.jpg,"['رجل', 'يركب', 'دراجة', 'نارية']",4,"['رجل', 'يركب', 'دراج', '+', 'ة', 'ناري', '+', 'ة']",8,رجل يركب دراجة نارية,رجل يركب دراجة نارية
156,000000150955.jpg,"['رجل', 'وامرأة', 'في', 'قميص', 'أزرق']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,رجل وامرأة في قميص أزرق,امرأة صغيرة في الشارع
157,000000346384.jpg,"['الناس', 'في', 'الشارع']",3,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,الناس في الشارع,الناس في الشارع
158,000000023489.jpg,"['شخصان', 'في', 'قارب', 'في', 'الماء']",5,"['شخص', '+', 'ان', 'في', 'ال', '+', 'ماء']",7,شخصان في قارب في الماء,شخصان في الماء
159,000000066388.jpg,"['رجل', 'يجلس', 'على', 'طاولة']",4,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أبيض', 'و', '+', 'ال', '+', 'لون', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض', 'و', '+', 'ال', '+', 'أبيض']",24,رجل يجلس على طاولة,رجل يرتدي قميصا أبيض واللون الأبيض والأبيض والأبيض
160,000000079077.jpg,"['مجموعة', 'من', 'الناس', 'في', 'الماء']",5,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'ماء']",11,مجموعة من الناس في الماء,مجموعة من الناس في الماء
161,000000555457.jpg,"['اثنين', 'من', 'الكلاب', 'يلعبون', 'في', 'حقل']",6,"['كلب', '+', 'ان', 'يلعب', '+', 'ان', 'في', 'ال', '+', 'عشب']",10,اثنين من الكلاب يلعبون في حقل,كلبان يلعبان في العشب
162,000000025603.jpg,"['فتاة', 'صغيرة', 'تجلس', 'على', 'طاولة']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,فتاة صغيرة تجلس على طاولة,امرأة صغيرة في الشارع
163,000000125015.jpg,"['اثنين', 'من', 'الكلاب', '<unk>', '<unk>']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",16,اثنين من الكلاب <unk> <unk>,امرأة صغيرة صغيرة صغيرة في الشارع
164,000000142321.jpg,"['صبي', 'صغير', 'يقف', 'على', 'الرصيف']",5,"['صبي', 'صغير', 'يلعب', 'في', 'ال', '+', 'هواء']",7,صبي صغير يقف على الرصيف,صبي صغير يلعب في الهواء
165,000000569314.jpg,"['مجموعة', 'من', 'الناس', 'يجلسون', 'على', 'طاولة']",6,"['طفل', '+', 'ان', 'يلعب', '+', 'ان', 'في', 'ال', '+', 'هواء']",10,مجموعة من الناس يجلسون على طاولة,طفلان يلعبان في الهواء
166,000000577421.jpg,"['اثنين', 'من', 'الكلاب', 'يلعبون', 'في', 'حقل']",6,"['اثنين', 'من', 'ال', '+', 'كلاب', 'يلعب', '+', 'ان', 'في', 'ال', '+', 'عشب']",12,اثنين من الكلاب يلعبون في حقل,اثنين من الكلاب يلعبان في العشب
167,000000068439.jpg,"['رجل', 'يجلس', 'على', 'طاولة']",4,"['ال', '+', 'رجل', 'على', 'ال', '+', 'ماء']",7,رجل يجلس على طاولة,الرجل على الماء
168,000000096307.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['ال', '+', 'رجل', 'في', 'ال', '+', 'ماء']",7,رجل يجلس على مقعد,الرجل في الماء
169,000000417650.jpg,"['رجل', 'يجلس', 'على', 'طاولة']",4,"['رجل', 'و', '+', 'امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",13,رجل يجلس على طاولة,رجل وامرأة صغيرة في الشارع
170,000000418575.jpg,"['صبي', 'صغير', 'يجلس', 'على', 'الأرض']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'قميص', '+', 'ا']",10,صبي صغير يجلس على الأرض,امرأة صغيرة في قميصا
171,000000486581.jpg,"['مجموعة', 'من', 'الناس', 'يجلسون', 'على', 'طاولة']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'هواء']",11,مجموعة من الناس يجلسون على طاولة,مجموعة من الناس في الهواء
172,000000521096.jpg,"['فتاة', 'صغيرة', 'في', 'قميص', 'أزرق']",5,"['فتا', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",16,فتاة صغيرة في قميص أزرق,فتاة صغيرة صغيرة صغيرة في الهواء
173,000000350737.jpg,"['صبي', 'صغير', 'يجلس', 'على', 'طاولة']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",13,صبي صغير يجلس على طاولة,امرأة صغيرة صغيرة في الشارع
174,000000394104.jpg,"['كلب', 'أبيض', 'وأسود', 'يركض', 'على', 'الشاطئ']",6,"['شخص', '+', 'ان', 'على', 'ال', '+', 'شاطئ']",7,كلب أبيض وأسود يركض على الشاطئ,شخصان على الشاطئ
175,000000151732.jpg,"['مجموعة', 'من', 'الناس', 'يلعبون', 'كرة', 'القدم']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'ملعب']",11,مجموعة من الناس يلعبون كرة القدم,مجموعة من الناس في الملعب
176,000000485473.jpg,"['شخص', 'يركب', 'دراجة', 'نارية']",4,"['رجل', 'يركب', 'دراج', '+', 'ة', 'ناري', '+', 'ة', 'ناري', '+', 'ة']",11,شخص يركب دراجة نارية,رجل يركب دراجة نارية نارية
177,000000207026.jpg,"['مجموعة', 'من', 'الناس', 'يقفون', 'في', 'حقل']",6,"['رجل', '+', 'ان', 'على', 'ال', '+', 'دراج', '+', 'ة']",9,مجموعة من الناس يقفون في حقل,رجلان على الدراجة
178,000000264712.jpg,"['اثنين', 'من', 'الناس', '<unk>', '<unk>']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'هواء']",10,اثنين من الناس <unk> <unk>,امرأة صغيرة في الهواء
179,000000304854.jpg,"['مجموعة', 'من', 'الناس', 'يلعبون', 'في', 'الغابة']",6,"['اثنين', 'من', 'ال', '+', 'كلاب', 'يلعب', '+', 'ون', 'في', 'ال', '+', 'هواء']",12,مجموعة من الناس يلعبون في الغابة,اثنين من الكلاب يلعبون في الهواء
180,000000351973.jpg,"['مجموعة', 'من', 'الناس', 'على', 'الشاطئ']",5,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",11,مجموعة من الناس على الشاطئ,مجموعة من الناس في الشارع
181,000000172989.jpg,"['رجل', 'يقف', 'في', 'الثلج']",4,"['رجل', 'يقف', 'على', 'ال', '+', 'ثلج']",6,رجل يقف في الثلج,رجل يقف على الثلج
182,000000214524.jpg,"['اثنين', 'من', 'الكلاب', 'يلعبون', 'كرة', 'القدم']",6,"['طفل', '+', 'ان', 'في', 'ال', '+', 'شارع']",7,اثنين من الكلاب يلعبون كرة القدم,طفلان في الشارع
183,000000457226.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['شخص', '+', 'ان', 'في', 'ال', '+', 'شارع']",7,رجل يجلس على مقعد,شخصان في الشارع
184,000000481212.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['اثنين', 'من', 'ال', '+', 'كلاب', 'يلعب', '+', 'ون', 'في', 'ال', '+', 'هواء']",12,رجل يجلس على مقعد,اثنين من الكلاب يلعبون في الهواء
185,000000485185.jpg,"['مجموعة', 'من', 'الناس', 'يجلسون', 'على', 'الأرض']",6,"['مجموع', '+', 'ة', 'من', 'ال', '+', 'ناس']",7,مجموعة من الناس يجلسون على الأرض,مجموعة من الناس
186,000000003711.jpg,"['كلب', 'أسود', 'يقفز', 'في', 'الهواء']",5,"['كلب', 'أسود', 'يقفز', 'في', 'ال', '+', 'هواء']",7,كلب أسود يقفز في الهواء,كلب أسود يقفز في الهواء
187,000000288724.jpg,"['رجل', 'يجلس', 'على', 'السرير']",4,"['رجل', 'يجلس', 'على', 'ال', '+', 'رصيف']",6,رجل يجلس على السرير,رجل يجلس على الرصيف
188,000000366141.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['ال', '+', 'ناس', 'في', 'ال', '+', 'شارع']",7,رجل يجلس على مقعد,الناس في الشارع
189,000000219283.jpg,"['اثنين', 'من', 'الناس', '<unk>', '<unk>']",5,"['اثنين', 'من', 'ال', '+', 'كلاب', 'يلعب', '+', 'ون', 'في', 'ال', '+', 'هواء']",12,اثنين من الناس <unk> <unk>,اثنين من الكلاب يلعبون في الهواء
190,000000320150.jpg,"['مجموعة', 'من', 'الأطفال', 'يلعبون', 'في', 'الخارج']",6,"['ثلاث', '+', 'ة', 'أطفال', 'ال', '+', 'أطفال', 'في', 'ال', '+', 'ماء']",11,مجموعة من الأطفال يلعبون في الخارج,ثلاثة أطفال الأطفال في الماء
191,000000081070.jpg,"['صبي', 'صغير', 'يرتدي', 'سترة', 'حمراء']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",13,صبي صغير يرتدي سترة حمراء,امرأة صغيرة صغيرة في الشارع
192,000000371280.jpg,"['اثنين', 'من', 'الكلاب', 'السوداء']",4,"['اثنين', 'من', 'ال', '+', 'كلاب', 'ال', '+', 'بني', '+', 'ة', 'في', 'ال', '+', 'ماء']",14,اثنين من الكلاب السوداء,اثنين من الكلاب البنية في الماء
193,000000450864.jpg,"['امرأة', 'تجلس', 'على', 'طاولة', '<unk>']",5,"['امرأ', '+', 'ة', 'صغير', '+', 'ة', 'في', 'ال', '+', 'شارع']",10,امرأة تجلس على طاولة <unk>,امرأة صغيرة في الشارع
194,000000022256.jpg,"['رجل', 'يجلس', 'على', 'منحدر']",4,"['رجل', 'يرتدي', 'قميص', '+', 'ا', 'أحمر', 'و', '+', 'أسود', '+', 'ة', 'في', 'ال', '+', 'هواء']",15,رجل يجلس على منحدر,رجل يرتدي قميصا أحمر وأسودة في الهواء
195,000000026764.jpg,"['كلب', 'أسود', 'في', 'الماء']",4,"['ال', '+', 'طفل', 'في', 'ال', '+', 'ماء']",7,كلب أسود في الماء,الطفل في الماء
196,000000580172.jpg,"['رجل', 'في', 'قميص', 'أصفر']",4,"['ال', '+', 'كلب', 'ال', '+', 'بني', 'و', '+', 'ال', '+', 'أسود', 'و', '+', 'ال', '+', 'أسود', 'و', '+', 'ال', '+', 'أبيض']",21,رجل في قميص أصفر,الكلب البني والأسود والأسود والأبيض
197,000000106660.jpg,"['رجل', 'يجلس', 'على', 'مقعد']",4,"['ال', '+', 'ناس', 'في', 'ال', '+', 'هواء']",7,رجل يجلس على مقعد,الناس في الهواء
